iter	Passed	Remaining
803	4526	1103
804	4531	1097
805	4537	1092
806	4542	1086
807	4547	1080
808	4553	1075
809	4559	1069
810	4564	1063
811	4570	1058
812	4575	1052
813	4581	1046
814	4587	1041
815	4593	1035
816	4598	1030
817	4604	1024
818	4609	1018
819	4614	1013
820	4620	1007
821	4626	1001
822	4631	996
823	4637	990
824	4642	984
825	4648	979
826	4653	973
827	4659	967
828	4665	962
829	4670	956
830	4676	951
831	4681	945
832	4686	939
833	4692	933
834	4697	928
835	4702	922
836	4707	916
837	4712	911
838	4718	905
839	4723	899
840	4729	894
841	4735	888
842	4741	883
843	4746	877
844	4752	871
845	4758	866
846	4764	860
847	4769	854
848	4775	849
849	4781	843
850	4787	838
851	4793	832
852	4798	826
853	4804	821
854	4810	815
855	4816	810
856	4822	804
857	4828	799
858	4833	793
859	4839	787
860	4844	782
861	4850	776
862	4855	770
863	4861	765
864	4867	759
865	4873	754
866	4878	748
867	4884	742
868	4890	737
869	4895	731
870	4901	725
871	4907	720
872	4912	714
873	4918	709
874	4923	703
875	4928	697
876	4934	692
877	4939	686
878	4944	680
879	4950	675
880	4955	669
881	4960	663
882	4965	657
883	4970	652
884	4976	646
885	4981	640
886	4986	635
887	4992	629
888	4998	624
889	5003	618
890	5008	612
891	5013	607
892	5019	601
893	5024	595
894	5030	590
895	5035	584
896	5040	578
897	5045	573
898	5050	567
899	5056	561
900	5061	556
901	5066	550
902	5071	544
903	5077	539
904	5082	533
905	5088	527
906	5094	522
907	5099	516
908	5104	510
909	5109	505
910	5114	499
911	5127	494
912	5132	489
913	5137	483
914	5142	477
915	5147	472
916	5152	466
917	5157	460
918	5163	455
919	5168	449
920	5173	443
921	5179	438
922	5185	432
923	5190	426
924	5196	421
925	5202	415
926	5208	410
927	5213	404
928	5219	398
929	5224	393
930	5230	387
931	5235	381
932	5240	376
933	5245	370
934	5251	365
935	5256	359
936	5262	353
937	5268	348
938	5274	342
939	5280	337
940	5286	331
941	5291	325
942	5297	320
943	5303	314
944	5308	308
945	5313	303
946	5319	297
947	5325	292
948	5330	286
949	5336	280
950	5341	275
951	5347	269
952	5353	264
953	5358	258
954	5364	252
955	5369	247
956	5374	241
957	5380	235
958	5385	230
959	5391	224
960	5397	219
961	5403	213
962	5409	207
963	5415	202
964	5421	196
965	5426	191
966	5432	185
967	5438	179
968	5443	174
969	5449	168
970	5454	162
971	5460	157
972	5465	151
973	5471	146
974	5476	140
975	5482	134
976	5487	129
977	5492	123
978	5498	117
979	5503	112
980	5509	106
981	5514	101
982	5520	95
983	5526	89
984	5531	84
985	5536	78
986	5542	72
987	5547	67
988	5553	61
989	5558	56
990	5563	50
991	5568	44
992	5573	39
993	5578	33
994	5584	28
995	5590	22
996	5596	16
997	5601	11
998	5606	5
999	5612	0
